Index,Recency (months),Frequency (times),Monetary (c.c. blood),Time (months),whether he/she donated blood in March 2007
0,0,2,50,12500,98,1
2,2,1,16,4000,35,1
3,3,2,20,5000,45,1
4,4,1,24,6000,77,0
6,6,2,7,1750,14,1
9,9,5,46,11500,98,1
10,10,4,23,5750,58,0
11,11,0,3,750,4,0
12,12,2,10,2500,28,1
13,13,1,13,3250,47,0
14,14,2,6,1500,15,1
15,15,2,5,1250,11,1
16,16,2,14,3500,48,1
17,17,2,15,3750,49,1
19,19,2,3,750,4,1
21,21,4,11,2750,28,0
22,22,2,6,1500,16,1
23,23,2,6,1500,16,1
25,25,4,14,3500,40,0
26,26,4,6,1500,14,0
28,28,4,5,1250,11,1
29,29,4,8,2000,21,0
30,30,1,14,3500,58,0
33,33,4,9,2250,26,1
34,34,2,16,4000,64,0
35,35,2,8,2000,28,1
36,36,2,12,3000,47,1
38,38,2,14,3500,57,1
41,41,2,5,1250,16,0
42,42,2,5,1250,16,1
43,43,2,5,1250,16,0
45,45,4,9,2250,28,1
46,46,2,9,2250,36,0
47,47,2,2,500,2,0
48,48,2,2,500,2,0
51,51,2,11,2750,46,1
52,52,2,6,1500,22,0
53,53,2,12,3000,52,0
54,54,4,5,1250,14,1
56,56,4,8,2000,26,1
57,57,2,7,1750,28,1
58,58,2,16,4000,81,0
60,60,2,7,1750,29,0
61,61,2,8,2000,35,1
62,62,2,10,2500,49,0
63,63,4,5,1250,16,1
65,65,3,16,4000,74,0
66,66,2,4,1000,14,1
68,68,4,7,1750,25,0
69,69,1,9,2250,51,0
72,72,4,17,4250,71,1
74,74,2,2,500,4,1
75,75,2,2,500,4,1
76,76,2,4,1000,16,1
77,77,2,2,500,4,0
79,79,2,2,500,4,0
80,80,4,6,1500,23,1
82,82,2,4,1000,16,0
84,84,2,6,1500,28,1
85,85,2,6,1500,28,0
86,86,4,2,500,4,0
87,87,4,2,500,4,0
88,88,4,2,500,4,0
89,89,2,7,1750,35,1
90,90,4,2,500,4,1
91,91,4,2,500,4,0
94,94,12,11,2750,23,0
95,95,4,7,1750,28,0
97,97,4,9,2250,38,1
98,98,4,4,1000,14,1
99,99,5,7,1750,26,1
100,100,4,8,2000,34,1
102,102,4,9,2250,40,0
103,103,2,5,1250,26,0
105,105,6,17,4250,70,0
106,106,0,8,2000,59,0
107,107,3,5,1250,26,0
111,111,4,9,2250,46,0
112,112,4,5,1250,23,0
113,113,4,8,2000,40,1
114,114,2,12,3000,82,0
115,115,11,24,6000,64,0
116,116,2,7,1750,46,1
117,117,4,11,2750,61,0
118,118,1,7,1750,57,0
120,120,2,3,750,16,1
121,121,4,5,1250,26,1
123,123,2,5,1250,33,1
125,125,2,5,1250,34,0
127,127,2,4,1000,26,0
128,128,4,8,2000,48,1
130,130,4,5,1250,28,0
131,131,2,12,3000,95,0
133,133,4,6,1500,35,0
134,134,2,11,2750,88,0
136,136,2,5,1250,37,0
138,138,9,5,1250,19,0
139,139,2,2,500,11,0
141,141,5,14,3500,86,0
142,142,4,3,750,16,0
145,145,4,3,750,16,1
148,148,2,2,500,11,1
149,149,2,2,500,11,0
150,150,2,7,1750,58,1
151,151,4,6,1500,39,0
153,153,2,1,250,2,1
154,154,2,1,250,2,0
155,155,2,1,250,2,0
156,156,2,1,250,2,0
157,157,2,1,250,2,0
159,159,2,1,250,2,0
161,161,2,1,250,2,0
162,162,2,1,250,2,0
163,163,2,1,250,2,1
167,167,2,1,250,2,0
169,169,2,1,250,2,0
170,170,2,1,250,2,0
172,172,2,1,250,2,0
173,173,2,1,250,2,0
174,174,2,1,250,2,0
175,175,11,10,2500,35,0
177,177,4,5,1250,33,1
178,178,4,6,1500,41,1
179,179,2,3,750,22,0
180,180,4,4,1000,26,1
181,181,10,4,1000,16,0
182,182,2,4,1000,35,0
183,183,4,12,3000,88,0
184,184,13,8,2000,26,0
186,186,4,5,1250,34,0
192,192,2,4,1000,35,0
193,193,11,11,2750,42,0
196,196,9,8,2000,38,1
197,197,4,6,1500,47,0
198,198,11,7,1750,29,0
199,199,9,9,2250,45,0
201,201,4,7,1750,58,0
206,206,2,2,500,16,0
207,207,2,7,1750,76,0
209,209,11,3,750,14,0
210,210,4,1,250,4,0
